MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20151229,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-12-29,2016-01-04,1
20151222,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-12-22,2015-12-28,1
20151215,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-12-15,2015-12-21,1
20151208,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-12-08,2015-12-14,1
20151201,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-12-01,2015-12-07,1
20151124,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-11-24,2015-11-30,1
20151117,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-11-17,2015-11-23,1
20151110,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-11-10,2015-11-16,1
20151103,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-11-03,2015-11-09,1
20151027,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-10-27,2015-11-02,1
20151020,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-10-20,2015-10-26,1
20151013,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-10-13,2015-10-19,1
20151006,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-10-06,2015-10-12,1
20150929,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-09-29,2015-10-05,1
20150922,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-09-22,2015-09-28,1
20150915,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-09-15,2015-09-21,1
20150908,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-09-08,2015-09-14,1
20150901,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-09-01,2015-09-07,1
20150825,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-08-25,2015-08-31,1
20150818,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-08-18,2015-08-24,1
20150811,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-08-11,2015-08-17,1
20150804,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-08-04,2015-08-10,1
20150728,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-07-28,2015-08-03,1
20150721,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-07-21,2015-07-27,1
20150714,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-07-14,2015-07-20,1
20150707,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-07-07,2015-07-13,1
20150630,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-06-30,2015-07-06,1
20150623,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-06-23,2015-06-29,1
20150616,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-06-16,2015-06-22,1
20150609,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-06-09,2015-06-15,1
20150602,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-06-02,2015-06-08,1
20150526,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-05-26,2015-06-01,1
20150519,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-05-19,2015-05-25,1
20150512,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-05-12,2015-05-18,1
20150505,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-05-05,2015-05-11,1
20150428,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-28,2015-05-04,1
20150421,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-21,2015-04-27,1
20150414,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-14,2015-04-20,1
20150407,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-04-07,2015-04-13,1
20150331,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-31,2015-04-06,1
20150324,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-24,2015-03-30,1
20150317,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-17,2015-03-23,1
20150310,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-10,2015-03-16,1
20150303,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-03-03,2015-03-09,1
20150224,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-24,2015-03-02,1
20150217,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-17,2015-02-23,1
20150210,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-10,2015-02-16,1
20150203,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-02-03,2015-02-09,1
20150127,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-27,2015-02-02,1
20150120,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-20,2015-01-26,1
20150113,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-13,2015-01-19,1
20150106,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2015-01-06,2015-01-12,1
20141230,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,18.96,2014-12-30,2015-01-05,1
20151229,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-29,2016-01-04,1
20151222,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-22,2015-12-28,1
20151215,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-15,2015-12-21,1
20151208,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-08,2015-12-14,1
20151201,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-01,2015-12-07,1
20151124,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-24,2015-11-30,1
20151117,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-17,2015-11-23,1
20151110,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-10,2015-11-16,1
20151103,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-03,2015-11-09,1
20151027,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-27,2015-11-02,1
20151020,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-20,2015-10-26,1
20151013,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-13,2015-10-19,1
20151006,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-06,2015-10-12,1
20150929,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-29,2015-10-05,1
20150922,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-22,2015-09-28,1
20150915,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-15,2015-09-21,1
20150908,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-08,2015-09-14,1
20150901,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-01,2015-09-07,1
20150825,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-25,2015-08-31,1
20150818,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-18,2015-08-24,1
20150811,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-11,2015-08-17,1
20150804,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-04,2015-08-10,1
20150728,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-28,2015-08-03,1
20150721,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-21,2015-07-27,1
20150714,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-14,2015-07-20,1
20150707,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-07,2015-07-13,1
20150630,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-06-30,2015-07-06,1
20150623,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-06-23,2015-06-29,1
20150616,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-06-16,2015-06-22,1
20150609,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-06-09,2015-06-15,1
20150602,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-06-02,2015-06-08,1
20150526,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-05-26,2015-06-01,1
20150519,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-05-19,2015-05-25,1
20150512,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-05-12,2015-05-18,1
20150505,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-05-05,2015-05-11,1
20150428,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-28,2015-05-04,1
20150421,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-21,2015-04-27,1
20150414,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-14,2015-04-20,1
20150407,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-04-07,2015-04-13,1
20150331,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-31,2015-04-06,1
20150324,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-24,2015-03-30,1
20150317,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-17,2015-03-23,1
20150310,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-10,2015-03-16,1
20150303,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-03-03,2015-03-09,1
20150224,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-24,2015-03-02,1
20150217,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-17,2015-02-23,1
20150210,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-10,2015-02-16,1
20150203,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-02-03,2015-02-09,1
20150127,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-27,2015-02-02,1
20150120,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-20,2015-01-26,1
20150113,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-01-13,2015-01-19,1
20150106,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2015-01-06,2015-01-12,1
20141230,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,78.02,2014-12-30,2015-01-05,1
20151229,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-29,2016-01-04,1
20151222,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-22,2015-12-28,1
20151215,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-15,2015-12-21,1
20151208,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-08,2015-12-14,1
20151201,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-12-01,2015-12-07,1
20151124,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-24,2015-11-30,1
20151117,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-17,2015-11-23,1
20151110,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-10,2015-11-16,1
20151103,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-11-03,2015-11-09,1
20151027,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-27,2015-11-02,1
20151020,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-20,2015-10-26,1
20151013,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-13,2015-10-19,1
20151006,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-10-06,2015-10-12,1
20150929,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-29,2015-10-05,1
20150922,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-22,2015-09-28,1
20150915,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-15,2015-09-21,1
20150908,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-08,2015-09-14,1
20150901,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-09-01,2015-09-07,1
20150825,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-25,2015-08-31,1
20150818,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-18,2015-08-24,1
20150811,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-11,2015-08-17,1
20150804,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-08-04,2015-08-10,1
20150728,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-28,2015-08-03,1
20150721,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-21,2015-07-27,1
20150714,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-14,2015-07-20,1
20150707,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,100.00,2015-07-07,2015-07-13,1
