MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20120501,06001,Alameda County,CA,0.00,100.00,97.71,0.00,0.00,0.00,2012-05-01,2012-05-07,1
20120424,06001,Alameda County,CA,0.00,100.00,97.71,0.00,0.00,0.00,2012-04-24,2012-04-30,1
20120417,06001,Alameda County,CA,0.00,100.00,97.71,0.00,0.00,0.00,2012-04-17,2012-04-23,1
20120410,06001,Alameda County,CA,0.00,100.00,100.00,91.31,0.00,0.00,2012-04-10,2012-04-16,1
20120403,06001,Alameda County,CA,0.00,100.00,100.00,91.31,0.00,0.00,2012-04-03,2012-04-09,1
20120327,06001,Alameda County,CA,0.00,100.00,100.00,91.31,0.00,0.00,2012-03-27,2012-04-02,1
20120320,06001,Alameda County,CA,0.00,100.00,100.00,91.31,0.00,0.00,2012-03-20,2012-03-26,1
20120313,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2012-03-13,2012-03-19,1
20120306,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-03-06,2012-03-12,1
20120228,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-02-28,2012-03-05,1
20120221,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-02-21,2012-02-27,1
20120214,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-02-14,2012-02-20,1
20120207,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-02-07,2012-02-13,1
20120131,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-01-31,2012-02-06,1
20120124,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-01-24,2012-01-30,1
20120117,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-01-17,2012-01-23,1
20120110,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-01-10,2012-01-16,1
20120103,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2012-01-03,2012-01-09,1
20111227,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2011-12-27,2012-01-02,1
20111220,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-20,2011-12-26,1
20111213,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-13,2011-12-19,1
20111206,06001,Alameda County,CA,100.00,0.00,0.00,0.00,0.00,0.00,2011-12-06,2011-12-12,1
