MapDate,FIPS,County,State,None,D0,D1,D2,D3,D4,ValidStart,ValidEnd,StatisticFormatID
20140429,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-04-29,2014-05-05,1
20140422,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,96.09,2014-04-22,2014-04-28,1
20140415,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-04-15,2014-04-21,1
20140408,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-04-08,2014-04-14,1
20140401,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-04-01,2014-04-07,1
20140325,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-03-25,2014-03-31,1
20140318,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-03-18,2014-03-24,1
20140311,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-03-11,2014-03-17,1
20140304,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-03-04,2014-03-10,1
20140225,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,57.65,2014-02-25,2014-03-03,1
20140218,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-02-18,2014-02-24,1
20140211,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-02-11,2014-02-17,1
20140204,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-02-04,2014-02-10,1
20140128,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-28,2014-02-03,1
20140121,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-21,2014-01-27,1
20140114,06001,Alameda County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-14,2014-01-20,1
20140107,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2014-01-07,2014-01-13,1
20131231,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-12-31,2014-01-06,1
20131224,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-12-24,2013-12-30,1
20131217,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-12-17,2013-12-23,1
20131210,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-12-10,2013-12-16,1
20131203,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-12-03,2013-12-09,1
20131126,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-11-26,2013-12-02,1
20131119,06001,Alameda County,CA,0.00,100.00,100.00,100.00,6.91,0.00,2013-11-19,2013-11-25,1
20131112,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-11-12,2013-11-18,1
20131105,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-11-05,2013-11-11,1
20131029,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-29,2013-11-04,1
20131022,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-22,2013-10-28,1
20131015,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-15,2013-10-21,1
20131008,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-08,2013-10-14,1
20131001,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-01,2013-10-07,1
20130924,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-24,2013-09-30,1
20130917,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-17,2013-09-23,1
20130910,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-10,2013-09-16,1
20130903,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-03,2013-09-09,1
20130827,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-27,2013-09-02,1
20130820,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-20,2013-08-26,1
20130813,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-13,2013-08-19,1
20130806,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-06,2013-08-12,1
20130730,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-30,2013-08-05,1
20130723,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-23,2013-07-29,1
20130716,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-16,2013-07-22,1
20130709,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-09,2013-07-15,1
20130702,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-02,2013-07-08,1
20130625,06001,Alameda County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-06-25,2013-07-01,1
20130618,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-18,2013-06-24,1
20130611,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-11,2013-06-17,1
20130604,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-04,2013-06-10,1
20130528,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-28,2013-06-03,1
20130521,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-21,2013-05-27,1
20130514,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-14,2013-05-20,1
20130507,06001,Alameda County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-07,2013-05-13,1
20130430,06001,Alameda County,CA,0.00,100.00,0.00,0.00,0.00,0.00,2013-04-30,2013-05-06,1
20140429,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-29,2014-05-05,1
20140422,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-22,2014-04-28,1
20140415,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-15,2014-04-21,1
20140408,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-08,2014-04-14,1
20140401,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-01,2014-04-07,1
20140325,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-03-25,2014-03-31,1
20140318,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-03-18,2014-03-24,1
20140311,06003,Alpine County,CA,0.00,100.00,100.00,100.00,85.66,0.00,2014-03-11,2014-03-17,1
20140304,06003,Alpine County,CA,0.00,100.00,100.00,100.00,85.66,0.00,2014-03-04,2014-03-10,1
20140225,06003,Alpine County,CA,0.00,100.00,100.00,100.00,85.66,0.00,2014-02-25,2014-03-03,1
20140218,06003,Alpine County,CA,0.00,100.00,100.00,100.00,79.38,0.00,2014-02-18,2014-02-24,1
20140211,06003,Alpine County,CA,0.00,100.00,100.00,100.00,79.38,0.00,2014-02-11,2014-02-17,1
20140204,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-02-04,2014-02-10,1
20140128,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-28,2014-02-03,1
20140121,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-21,2014-01-27,1
20140114,06003,Alpine County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-14,2014-01-20,1
20140107,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2014-01-07,2014-01-13,1
20131231,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-12-31,2014-01-06,1
20131224,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-12-24,2013-12-30,1
20131217,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-12-17,2013-12-23,1
20131210,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-12-10,2013-12-16,1
20131203,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-12-03,2013-12-09,1
20131126,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-11-26,2013-12-02,1
20131119,06003,Alpine County,CA,0.00,100.00,100.00,100.00,42.33,0.00,2013-11-19,2013-11-25,1
20131112,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-11-12,2013-11-18,1
20131105,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-11-05,2013-11-11,1
20131029,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-29,2013-11-04,1
20131022,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-22,2013-10-28,1
20131015,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-15,2013-10-21,1
20131008,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-08,2013-10-14,1
20131001,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-10-01,2013-10-07,1
20130924,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-24,2013-09-30,1
20130917,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-17,2013-09-23,1
20130910,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-10,2013-09-16,1
20130903,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-09-03,2013-09-09,1
20130827,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-27,2013-09-02,1
20130820,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-20,2013-08-26,1
20130813,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-13,2013-08-19,1
20130806,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-08-06,2013-08-12,1
20130730,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-30,2013-08-05,1
20130723,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-23,2013-07-29,1
20130716,06003,Alpine County,CA,0.00,100.00,100.00,100.00,0.00,0.00,2013-07-16,2013-07-22,1
20130709,06003,Alpine County,CA,0.00,100.00,100.00,44.14,0.00,0.00,2013-07-09,2013-07-15,1
20130702,06003,Alpine County,CA,0.00,100.00,100.00,44.14,0.00,0.00,2013-07-02,2013-07-08,1
20130625,06003,Alpine County,CA,0.00,100.00,100.00,41.37,0.00,0.00,2013-06-25,2013-07-01,1
20130618,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-18,2013-06-24,1
20130611,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-11,2013-06-17,1
20130604,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-06-04,2013-06-10,1
20130528,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-28,2013-06-03,1
20130521,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-21,2013-05-27,1
20130514,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-14,2013-05-20,1
20130507,06003,Alpine County,CA,0.00,100.00,100.00,0.00,0.00,0.00,2013-05-07,2013-05-13,1
20130430,06003,Alpine County,CA,0.00,100.00,96.38,0.00,0.00,0.00,2013-04-30,2013-05-06,1
20140429,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-29,2014-05-05,1
20140422,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-22,2014-04-28,1
20140415,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-15,2014-04-21,1
20140408,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-08,2014-04-14,1
20140401,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-04-01,2014-04-07,1
20140325,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-03-25,2014-03-31,1
20140318,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-03-18,2014-03-24,1
20140311,06005,Amador County,CA,0.00,100.00,100.00,100.00,61.40,0.00,2014-03-11,2014-03-17,1
20140304,06005,Amador County,CA,0.00,100.00,100.00,100.00,61.40,0.00,2014-03-04,2014-03-10,1
20140225,06005,Amador County,CA,0.00,100.00,100.00,100.00,61.40,0.00,2014-02-25,2014-03-03,1
20140218,06005,Amador County,CA,0.00,100.00,100.00,100.00,30.01,0.00,2014-02-18,2014-02-24,1
20140211,06005,Amador County,CA,0.00,100.00,100.00,100.00,30.01,0.00,2014-02-11,2014-02-17,1
20140204,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-02-04,2014-02-10,1
20140128,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-28,2014-02-03,1
20140121,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-21,2014-01-27,1
20140114,06005,Amador County,CA,0.00,100.00,100.00,100.00,100.00,0.00,2014-01-14,2014-01-20,1
20140107,06005,Amador County,CA,0.00,100.00,100.00,100.00,99.65,0.00,2014-01-07,2014-01-13,1
20131231,06005,Amador County,CA,0.00,100.00,100.00,100.00,99.65,0.00,2013-12-31,2014-01-06,1
20131224,06005,Amador County,CA,0.00,100.00,100.00,100.00,99.65,0.00,2013-12-24,2013-12-30,1
